player_person_id,player_person_currentTeam_name,player_person_fullName,player_stats_skaterStats_assists,player_stats_skaterStats_goals,side
8477429,Winnipeg Jets,Andrew Copp,1,0,away
8476952,Winnipeg Jets,Dominic Toninato,0,0,away
8477504,Winnipeg Jets,Josh Morrissey,0,0,away
8475455,Winnipeg Jets,Brenden Dillon,0,0,away
8477940,Winnipeg Jets,Nikolaj Ehlers,0,0,away
8476460,Winnipeg Jets,Mark Scheifele,0,1,away
8477220,Winnipeg Jets,Nate Schmidt,0,0,away
8479378,Winnipeg Jets,Logan Stanley,0,0,away
8479400,Winnipeg Jets,Pierre-Luc Dubois,0,0,away
8478058,Winnipeg Jets,CJ Suess,0,0,away
8478431,Winnipeg Jets,Evgeny Svechnikov,0,0,away
8478398,Winnipeg Jets,Kyle Connor,0,0,away
8476392,Winnipeg Jets,Adam Lowry,0,0,away
8480145,Winnipeg Jets,Neal Pionk,1,0,away
8476470,Winnipeg Jets,Nathan Beaulieu,0,0,away
8480443,Winnipeg Jets,Kristian Reichel,0,0,away
8482149,Winnipeg Jets,Cole Perfetti,0,0,away
8480005,Winnipeg Jets,Kristian Vesalainen,0,0,away
8481186,Colorado Avalanche,Logan O'Connor,0,0,home
8473446,Colorado Avalanche,Erik Johnson,2,0,home
8477979,Colorado Avalanche,Nicolas Aube-Kubel,0,0,home
8471794,Colorado Avalanche,Darren Helm,0,0,home
8478038,Colorado Avalanche,Devon Toews,1,0,home
8477444,Colorado Avalanche,Andre Burakovsky,2,0,home
8476850,Colorado Avalanche,Ryan Murray,0,0,home
8476455,Colorado Avalanche,Gabriel Landeskog,1,3,home
8477456,Colorado Avalanche,J.T. Compher,0,0,home
8481618,Colorado Avalanche,Alex Newhook,0,0,home
8479398,Colorado Avalanche,Samuel Girard,1,0,home
8478420,Colorado Avalanche,Mikko Rantanen,2,1,home
8477073,Colorado Avalanche,Kurtis MacDermid,0,0,home
8477492,Colorado Avalanche,Nathan MacKinnon,4,1,home
8475172,Colorado Avalanche,Nazem Kadri,0,1,home
8480069,Colorado Avalanche,Cale Makar,0,0,home
8479370,Colorado Avalanche,Tyson Jost,0,0,home
8481524,Colorado Avalanche,Bowen Byram,1,1,home
