player_person_id,player_person_currentTeam_name,player_person_fullName,player_stats_skaterStats_assists,player_stats_skaterStats_goals,side
8474602,Washington Capitals,Justin Schultz,0,0,away
8477903,Washington Capitals,Garnet Hathaway,0,0,away
8477839,Washington Capitals,Conor Sheary,0,0,away
8475958,Washington Capitals,Michael Sgarbossa,0,0,away
8475324,Washington Capitals,Nick Jensen,0,0,away
8471214,Washington Capitals,Alex Ovechkin,0,0,away
8475744,Washington Capitals,Evgeny Kuznetsov,0,0,away
8477845,Washington Capitals,Trevor van Riemsdyk,1,0,away
8475200,Washington Capitals,Dmitry Orlov,0,0,away
8478466,Washington Capitals,Daniel Sprong,0,1,away
8475343,Washington Capitals,Nic Dowd,0,0,away
8481517,Washington Capitals,Brett Leason,0,0,away
8474590,Washington Capitals,John Carlson,0,0,away
8474189,Washington Capitals,Lars Eller,0,0,away
8476880,Washington Capitals,Tom Wilson,0,0,away
8474176,Washington Capitals,Carl Hagelin,0,0,away
8480796,Washington Capitals,Martin Fehervary,0,0,away
8481656,Washington Capitals,Aliaksei Protas,1,0,away
8474618,St. Louis Blues,Marco Scandella,1,0,home
8478859,St. Louis Blues,Niko Mikkola,0,0,home
8476897,St. Louis Blues,Oskar Sundqvist,0,1,home
8475753,St. Louis Blues,Justin Faulk,1,0,home
8477964,St. Louis Blues,Ivan Barbashev,0,1,home
8476438,St. Louis Blues,Brandon Saad,1,0,home
8477402,St. Louis Blues,Pavel Buchnevich,1,2,home
8475158,St. Louis Blues,Ryan O'Reilly,2,0,home
8479366,St. Louis Blues,Logan Brown,0,0,home
8474102,St. Louis Blues,David Perron,0,0,home
8474145,St. Louis Blues,Robert Bortuzzo,0,0,home
8475098,St. Louis Blues,Tyler Bozak,0,0,home
8476792,St. Louis Blues,Torey Krug,0,1,home
8476892,St. Louis Blues,Colton Parayko,0,0,home
8475170,St. Louis Blues,Brayden Schenn,0,0,home
8479385,St. Louis Blues,Jordan Kyrou,1,0,home
8480011,St. Louis Blues,Klim Kostin,0,0,home
8480023,St. Louis Blues,Robert Thomas,2,0,home
