player_person_id,player_person_currentTeam_name,player_person_fullName,player_stats_skaterStats_assists,player_stats_skaterStats_goals,side
8466138,Florida Panthers,Joe Thornton,0,0,away
8480185,Florida Panthers,Eetu Luostarinen,1,0,away
8477407,Florida Panthers,Anthony Duclair,0,0,away
8477409,Florida Panthers,Carter Verhaeghe,0,0,away
8477932,Florida Panthers,Aaron Ekblad,3,0,away
8471887,Florida Panthers,Patric Hornqvist,1,1,away
8477986,Florida Panthers,Brandon Montour,0,0,away
8476456,Florida Panthers,Jonathan Huberdeau,1,1,away
8477346,Florida Panthers,MacKenzie Weegar,0,1,away
8479355,Florida Panthers,Olli Juolevi,0,0,away
8479553,Florida Panthers,Maxim Mamin,0,0,away
8478055,Florida Panthers,Gustav Forsling,1,0,away
8478366,Florida Panthers,Frank Vatrano,0,0,away
8475462,Florida Panthers,Radko Gudas,1,0,away
8479066,Florida Panthers,Ryan Lomberg,0,0,away
8477493,Florida Panthers,Aleksander Barkov,1,2,away
8482113,Florida Panthers,Anton Lundell,1,0,away
8480015,Florida Panthers,Owen Tippett,0,0,away
8475906,Dallas Stars,John Klingberg,2,0,home
8481581,Dallas Stars,Thomas Harley,0,0,home
8470794,Dallas Stars,Joe Pavelski,1,0,home
8476902,Dallas Stars,Esa Lindell,0,0,home
8475825,Dallas Stars,Jani Hakanpaa,0,0,home
8473994,Dallas Stars,Jamie Benn,1,1,home
8470600,Dallas Stars,Ryan Suter,0,0,home
8478449,Dallas Stars,Roope Hintz,0,0,home
8471228,Dallas Stars,Alexander Radulov,0,0,home
8476822,Dallas Stars,Luke Glendening,0,0,home
8476889,Dallas Stars,Radek Faksa,1,0,home
8480216,Dallas Stars,Jacob Peterson,0,0,home
8475794,Dallas Stars,Tyler Seguin,0,1,home
8478495,Dallas Stars,Denis Gurianov,2,1,home
8481641,Dallas Stars,Joel Kiviranta,0,0,home
8480036,Dallas Stars,Miro Heiskanen,1,0,home
8480027,Dallas Stars,Jason Robertson,0,1,home
8477290,Dallas Stars,Michael Raffl,0,1,home
