player_person_id,player_person_currentTeam_name,player_person_fullName,player_stats_skaterStats_assists,player_stats_skaterStats_goals,side
8471724,Pittsburgh Penguins,Kris Letang,3,0,away
8470619,Pittsburgh Penguins,Brian Boyle,0,1,away
8476927,Pittsburgh Penguins,Teddy Blueger,0,0,away
8476934,Pittsburgh Penguins,Brock McGinn,0,0,away
8477969,Pittsburgh Penguins,Marcus Pettersson,0,0,away
8478507,Pittsburgh Penguins,John Marino,1,0,away
8475208,Pittsburgh Penguins,Brian Dumoulin,1,0,away
8471675,Pittsburgh Penguins,Sidney Crosby,2,0,away
8476875,Pittsburgh Penguins,Mike Matheson,0,0,away
8477404,Pittsburgh Penguins,Jake Guentzel,0,2,away
8477953,Pittsburgh Penguins,Kasperi Kapanen,1,0,away
8478866,Pittsburgh Penguins,Dominik Simon,0,0,away
8479944,Pittsburgh Penguins,Zach Aston-Reese,0,0,away
8475810,Pittsburgh Penguins,Bryan Rust,1,2,away
8479512,Pittsburgh Penguins,Kasper Bjorkqvist,0,0,away
8477244,Pittsburgh Penguins,Chad Ruhwedel,0,0,away
8478542,Pittsburgh Penguins,Evan Rodrigues,1,1,away
8478046,Pittsburgh Penguins,Danton Heinen,0,0,away
8471735,Philadelphia Flyers,Keith Yandle,0,0,home
8473544,Philadelphia Flyers,Derick Brassard,0,0,home
8474027,Philadelphia Flyers,Justin Braun,0,0,home
8474037,Philadelphia Flyers,James van Riemsdyk,0,0,home
8474715,Philadelphia Flyers,Cam Atkinson,0,1,home
8477887,Philadelphia Flyers,Patrick Brown,0,0,home
8477499,Philadelphia Flyers,Rasmus Ristolainen,0,0,home
8476872,Philadelphia Flyers,Scott Laughton,1,0,home
8475246,Philadelphia Flyers,Kevin Connauton,0,0,home
8475763,Philadelphia Flyers,Kevin Hayes,0,0,home
8478067,Philadelphia Flyers,Oskar Lindblom,0,1,home
8479772,Philadelphia Flyers,Zack MacEwen,1,0,home
8478051,Philadelphia Flyers,Max Willman,0,0,home
8481178,Philadelphia Flyers,Egor Zamula,0,0,home
8479382,Philadelphia Flyers,Connor Bunnaman,0,0,home
8480797,Philadelphia Flyers,Joel Farabee,1,0,home
8481546,Philadelphia Flyers,Cam York,0,0,home
8480028,Philadelphia Flyers,Morgan Frost,1,0,home
