player_person_id,player_person_currentTeam_name,player_person_fullName,player_stats_skaterStats_assists,player_stats_skaterStats_goals,side
8477507,Calgary Flames,Nikita Zadorov,0,0,away
8476439,Calgary Flames,Brett Ritchie,0,0,away
8476399,Calgary Flames,Blake Coleman,1,1,away
8480008,Calgary Flames,Adam Ruzicka,0,0,away
8479346,Calgary Flames,Dillon Dube,0,0,away
8474150,Calgary Flames,Mikael Backlund,0,0,away
8476346,Calgary Flames,Johnny Gaudreau,0,1,away
8479314,Calgary Flames,Matthew Tkachuk,1,1,away
8478397,Calgary Flames,Rasmus Andersson,0,0,away
8475690,Calgary Flames,Christopher Tanev,0,0,away
8473453,Calgary Flames,Trevor Lewis,0,0,away
8478430,Calgary Flames,Oliver Kylington,0,0,away
8475790,Calgary Flames,Erik Gudbranson,1,0,away
8478396,Calgary Flames,Noah Hanifin,0,0,away
8473473,Calgary Flames,Milan Lucic,0,0,away
8477497,Calgary Flames,Sean Monahan,0,0,away
8477496,Calgary Flames,Elias Lindholm,1,0,away
8478233,Calgary Flames,Andrew Mangiapane,0,0,away
8482093,Carolina Hurricanes,Seth Jarvis,0,0,home
8474613,Carolina Hurricanes,Derek Stepan,0,1,home
8478904,Carolina Hurricanes,Steven Lorentz,2,0,home
8480829,Carolina Hurricanes,Jesperi Kotkaniemi,1,0,home
8473533,Carolina Hurricanes,Jordan Staal,1,0,home
8476869,Carolina Hurricanes,Brady Skjei,2,1,home
8476958,Carolina Hurricanes,Jaccob Slavin,0,0,home
8478427,Carolina Hurricanes,Sebastian Aho,1,0,home
8475799,Carolina Hurricanes,Nino Niederreiter,0,0,home
8475855,Carolina Hurricanes,Jesper Fast,0,1,home
8477488,Carolina Hurricanes,Brett Pesce,1,0,home
8477950,Carolina Hurricanes,Tony DeAngelo,0,1,home
8476882,Carolina Hurricanes,Teuvo Teravainen,1,0,home
8476389,Carolina Hurricanes,Vincent Trocheck,1,0,home
8478451,Carolina Hurricanes,Ethan Bear,0,0,home
8474013,Carolina Hurricanes,Ian Cole,1,0,home
8480830,Carolina Hurricanes,Andrei Svechnikov,0,2,home
8480039,Carolina Hurricanes,Martin Necas,0,0,home
