player_person_id,player_person_currentTeam_name,player_person_fullName,player_stats_skaterStats_assists,player_stats_skaterStats_goals,side
8481161,Columbus Blue Jackets,Jake Christiansen,0,0,away
8474679,Columbus Blue Jackets,Gustav Nyquist,0,0,away
8477503,Columbus Blue Jackets,Max Domi,0,1,away
8479339,Columbus Blue Jackets,Patrik Laine,0,0,away
8477416,Columbus Blue Jackets,Oliver Bjorkstrand,0,0,away
8480205,Columbus Blue Jackets,Emil Bemstrom,0,0,away
8476432,Columbus Blue Jackets,Boone Jenner,0,0,away
8482705,Columbus Blue Jackets,Cole Sillinger,1,0,away
8478458,Columbus Blue Jackets,Jack Roslovic,0,0,away
8479369,Columbus Blue Jackets,Andrew Peeke,0,0,away
8479402,Columbus Blue Jackets,Jake Bean,0,0,away
8478567,Columbus Blue Jackets,Dean Kukan,0,0,away
8474161,Columbus Blue Jackets,Jakub Voracek,0,0,away
8476374,Columbus Blue Jackets,Sean Kuraly,0,0,away
8478882,Columbus Blue Jackets,Vladislav Gavrikov,1,0,away
8482475,Columbus Blue Jackets,Yegor Chinakhov,0,0,away
8480871,Columbus Blue Jackets,Adam Boqvist,0,0,away
8480762,Columbus Blue Jackets,Eric Robinson,0,0,away
8476918,New Jersey Devils,Jimmy Vesey,0,0,home
8482110,New Jersey Devils,Dawson Mercer,0,0,home
8476923,New Jersey Devils,Damon Severson,0,0,home
8479407,New Jersey Devils,Jesper Bratt,1,1,home
8478868,New Jersey Devils,Christian Jaros,0,0,home
8479414,New Jersey Devils,Nathan Bastian,1,0,home
8479415,New Jersey Devils,Michael McLeod,0,0,home
8481559,New Jersey Devils,Jack Hughes,2,1,home
8477435,New Jersey Devils,Ryan Graves,1,0,home
8479511,New Jersey Devils,Janne Kuokkanen,0,0,home
8481518,New Jersey Devils,Nolan Foote,0,0,home
8478399,New Jersey Devils,Jonas Siegenthaler,0,0,home
8474056,New Jersey Devils,P.K. Subban,0,0,home
8475193,New Jersey Devils,Tomas Tatar,1,1,home
8480002,New Jersey Devils,Nico Hischier,0,0,home
8480883,New Jersey Devils,Ty Smith,0,0,home
8480003,New Jersey Devils,Jesper Boqvist,0,0,home
8480226,New Jersey Devils,Marian Studenic,0,0,home
