player_person_id,player_person_currentTeam_name,player_person_fullName,player_stats_skaterStats_assists,player_stats_skaterStats_goals,side
8476915,Chicago Blackhawks,Jujhar Khaira,0,0,away
8473604,Chicago Blackhawks,Jonathan Toews,1,0,away
8476931,Chicago Blackhawks,Jake McCabe,0,1,away
8477846,Chicago Blackhawks,Ryan Carpenter,0,0,away
8479337,Chicago Blackhawks,Alex DeBrincat,0,1,away
8475177,Chicago Blackhawks,Calvin de Haan,1,0,away
8479404,Chicago Blackhawks,Henrik Borgstrom,0,0,away
8474141,Chicago Blackhawks,Patrick Kane,2,0,away
8477495,Chicago Blackhawks,Seth Jones,0,0,away
8477330,Chicago Blackhawks,Dominik Kubalik,0,0,away
8479388,Chicago Blackhawks,Riley Stillman,1,0,away
8480814,Chicago Blackhawks,Nicolas Beaudin,0,0,away
8478452,Chicago Blackhawks,Caleb Jones,0,0,away
8478440,Chicago Blackhawks,Dylan Strome,1,0,away
8476473,Chicago Blackhawks,Connor Murphy,1,0,away
8480025,Chicago Blackhawks,MacKenzie Entwistle,0,1,away
8481523,Chicago Blackhawks,Kirby Dach,0,1,away
8480798,Chicago Blackhawks,Philipp Kurashev,1,0,away
8475728,Arizona Coyotes,Johan Larsson,0,3,home
8476906,Arizona Coyotes,Shayne Gostisbehere,2,0,home
8474849,Arizona Coyotes,Antoine Roussel,0,0,home
8476329,Arizona Coyotes,Travis Boyd,2,1,home
8471873,Arizona Coyotes,Anton Stralman,0,0,home
8471217,Arizona Coyotes,Andrew Ladd,1,0,home
8473548,Arizona Coyotes,Phil Kessel,2,0,home
8476851,Arizona Coyotes,Alex Galchenyuk,1,0,home
8477951,Arizona Coyotes,Nick Schmaltz,0,0,home
8478474,Arizona Coyotes,Lawson Crouse,1,0,home
8480849,Arizona Coyotes,Barrett Hayton,0,0,home
8478432,Arizona Coyotes,Christian Fischer,0,0,home
8479343,Arizona Coyotes,Clayton Keller,1,1,home
8479341,Arizona Coyotes,Cam Dineen,0,0,home
8478062,Arizona Coyotes,Dysin Mayo,0,1,home
8482655,Arizona Coyotes,Janis Moser,1,0,home
8480950,Arizona Coyotes,Ilya Lyubushkin,0,0,home
8477070,Arizona Coyotes,Liam O'Brien,0,0,home
