player_person_id,player_person_currentTeam_name,player_person_fullName,player_stats_skaterStats_assists,player_stats_skaterStats_goals,side
8477507,Calgary Flames,Nikita Zadorov,0,0,away
8476439,Calgary Flames,Brett Ritchie,0,0,away
8470755,Calgary Flames,Brad Richardson,0,0,away
8476399,Calgary Flames,Blake Coleman,0,0,away
8479346,Calgary Flames,Dillon Dube,0,1,away
8474150,Calgary Flames,Mikael Backlund,0,0,away
8476346,Calgary Flames,Johnny Gaudreau,0,0,away
8479314,Calgary Flames,Matthew Tkachuk,0,0,away
8478397,Calgary Flames,Rasmus Andersson,0,0,away
8475690,Calgary Flames,Christopher Tanev,0,0,away
8473453,Calgary Flames,Trevor Lewis,0,0,away
8478430,Calgary Flames,Oliver Kylington,1,0,away
8475790,Calgary Flames,Erik Gudbranson,0,0,away
8478396,Calgary Flames,Noah Hanifin,0,0,away
8473473,Calgary Flames,Milan Lucic,0,0,away
8477497,Calgary Flames,Sean Monahan,1,0,away
8477496,Calgary Flames,Elias Lindholm,0,0,away
8478233,Calgary Flames,Andrew Mangiapane,0,0,away
8480172,Tampa Bay Lightning,Jan Rutta,0,0,home
8478519,Tampa Bay Lightning,Anthony Cirelli,0,0,home
8478416,Tampa Bay Lightning,Erik Cernak,0,0,home
8470621,Tampa Bay Lightning,Corey Perry,0,1,home
8473986,Tampa Bay Lightning,Alex Killorn,0,1,home
8476453,Tampa Bay Lightning,Nikita Kucherov,2,0,home
8475167,Tampa Bay Lightning,Victor Hedman,1,0,home
8474151,Tampa Bay Lightning,Ryan McDonagh,2,0,home
8477930,Tampa Bay Lightning,Pierre-Edouard Bellemare,1,0,home
8479984,Tampa Bay Lightning,Cal Foote,0,0,home
8474564,Tampa Bay Lightning,Steven Stamkos,1,0,home
8479410,Tampa Bay Lightning,Mikhail Sergachev,0,0,home
8474034,Tampa Bay Lightning,Pat Maroon,0,0,home
8476292,Tampa Bay Lightning,Ondrej Palat,0,1,home
8478472,Tampa Bay Lightning,Mathieu Joseph,0,0,home
8478010,Tampa Bay Lightning,Brayden Point,0,1,home
8479383,Tampa Bay Lightning,Boris Katchouk,0,0,home
8479390,Tampa Bay Lightning,Taylor Raddysh,0,0,home
