player_person_id,player_person_currentTeam_name,player_person_fullName,player_stats_skaterStats_assists,player_stats_skaterStats_goals,side
8470613,San Jose Sharks,Brent Burns,0,0,away
8481061,San Jose Sharks,Jasper Weatherby,0,0,away
8480060,San Jose Sharks,Scott Reedy,0,0,away
8480160,San Jose Sharks,Radim Simek,0,0,away
8471709,San Jose Sharks,Marc-Edouard Vlasic,0,0,away
8479705,San Jose Sharks,Jeffrey Viel,0,0,away
8474009,San Jose Sharks,Nick Bonino,1,0,away
8471699,San Jose Sharks,Andrew Cogliano,1,0,away
8476442,San Jose Sharks,Matt Nieto,0,1,away
8478414,San Jose Sharks,Timo Meier,0,1,away
8480847,San Jose Sharks,Ryan Merkley,0,0,away
8479983,San Jose Sharks,Mario Ferraro,1,0,away
8477034,San Jose Sharks,Jaycob Megna,0,0,away
8479981,San Jose Sharks,Jonah Gadjovich,0,0,away
8476881,San Jose Sharks,Tomas Hertl,1,1,away
8479373,San Jose Sharks,Jonathan Dahlen,0,0,away
8482222,San Jose Sharks,Alexander Barabanov,1,0,away
8479393,San Jose Sharks,Noah Gregor,0,0,away
8475236,Buffalo Sabres,Cody Eakin,0,0,home
8479419,Buffalo Sabres,Brett Murray,0,0,home
8476525,Buffalo Sabres,Colin Miller,0,0,home
8476878,Buffalo Sabres,Zemgus Girgensons,0,1,home
8478109,Buffalo Sabres,Victor Olofsson,1,0,home
8477355,Buffalo Sabres,Will Butcher,0,0,home
8476873,Buffalo Sabres,Mark Jankowski,0,0,home
8476994,Buffalo Sabres,Vinnie Hinostroza,0,0,home
8477974,Buffalo Sabres,Ryan MacInnis,0,0,home
8475784,Buffalo Sabres,Jeff Skinner,0,1,home
8479335,Buffalo Sabres,Rasmus Asplund,0,0,home
8475796,Buffalo Sabres,Mark Pysyk,0,0,home
8477401,Buffalo Sabres,John Hayden,0,0,home
8481528,Buffalo Sabres,Dylan Cozens,0,0,home
8479289,Buffalo Sabres,Ethan Prow,0,0,home
8480839,Buffalo Sabres,Rasmus Dahlin,1,0,home
8479420,Buffalo Sabres,Tage Thompson,1,0,home
8480035,Buffalo Sabres,Henri Jokiharju,0,0,home
